#z [m]	|p [pa]
0.121644	|802970.962250
0.121756	|802971.021438
0.121868	|802971.080626
0.121980	|802971.139814
0.122092	|802971.199001
0.122204	|802971.258188
0.122316	|802971.317374
0.122428	|802971.376561
0.122540	|802971.435747
0.122652	|802971.494932
0.122764	|802971.554117
0.122876	|802971.613302
0.122988	|802971.672487
0.123100	|802971.731671
0.123212	|802971.790854
0.123324	|802971.850038
0.123436	|802971.909221
0.123548	|802971.968404
0.123660	|802972.027586
0.123772	|802972.086768
0.123884	|802972.145950
0.123996	|802972.205131
0.124108	|802972.264312
0.124220	|802972.323492
0.124332	|802972.382673
0.124444	|802972.441853
0.124556	|802972.501032
0.124668	|802972.560211
0.124780	|802972.619390
0.124892	|802972.678569
0.125005	|802972.737747
0.125117	|802972.796925
0.125229	|802972.856102
0.125341	|802972.915279
0.125453	|802972.974456
0.125565	|802973.033632
0.125677	|802973.092808
0.125789	|802973.151984
0.125901	|802973.211159
0.126013	|802973.270334
0.126125	|802973.329509
0.126237	|802973.388683
0.126349	|802973.447857
0.126461	|802973.507030
0.126573	|802973.566204
0.126685	|802973.625376
0.126797	|802973.684549
0.126909	|802973.743721
0.127021	|802973.802893
0.127133	|802973.862064
0.127245	|802973.921235
0.127357	|802973.980406
0.127469	|802974.039576
0.127581	|802974.098746
0.127693	|802974.157916
0.127805	|802974.217085
0.127917	|802974.276254
0.128029	|802974.335423
0.128141	|802974.394591
0.128253	|802974.453759
0.128365	|802974.512927
0.128477	|802974.572094
0.128589	|802974.631261
0.128701	|802974.690427
0.128813	|802974.749593
0.128925	|802974.808759
0.129037	|802974.867924
0.129149	|802974.927090
0.129261	|802974.986254
0.129373	|802975.045419
0.129485	|802975.104583
0.129597	|802975.163746
0.129709	|802975.222910
0.129821	|802975.282073
